"idprogress","iduser","idquestion","status","response_time","next_level","idlevel"
1,1,1,True,"0.74",1,1
2,1,2,False,"0.41",2,1
19,1,16,False,"0.83",1,1
20,1,17,False,"9.42",1,1
21,1,18,False,"17.87",1,1
22,1,19,False,"17.91",1,1
18,1,15,False,"3.42",2,3
23,1,20,True,"15.40",1,1
24,1,21,True,"6.93",2,2
25,1,22,True,"2.79",3,2
26,1,23,True,"5.15",2,2
27,1,24,False,"4.93",1,2
28,1,25,True,"3.67",2,2
29,1,26,False,"2.95",2,3
30,1,27,True,"3.25",3,3
31,1,28,False,"0.90",2,3
32,1,29,False,"0.34",2,3
33,1,30,False,"3.65",2,3
34,1,31,True,"4.53",1,1
35,1,32,False,"7.54",1,1
36,1,33,False,"10.29",1,1
37,1,34,True,"8.56",1,1
38,1,35,True,"5.73",1,1
39,1,36,False,"5.67",1,2
40,1,37,False,"20.74",1,2
41,1,38,False,"6.37",1,2
42,1,39,True,"6.41",2,2
43,1,40,True,"2.97",3,2
44,1,41,False,"5.42",2,3
45,1,42,False,"8.12",2,3
46,1,43,False,"7.28",2,3
47,1,44,True,"6.40",3,3
48,1,45,True,"4.98",3,3
49,1,46,False,"3.42",1,1
50,1,47,False,"7.06",1,1
51,1,48,True,"2.87",2,1
52,1,49,False,"7.47",1,1
53,1,50,True,"4.96",1,1
54,1,51,False,"6.34",1,2
55,1,52,False,"6.32",1,2
56,1,53,True,"5.65",2,2
57,1,54,True,"6.42",2,2
58,1,55,False,"4.81",1,2
59,1,56,False,"4.84",2,3
60,1,57,True,"0.88",3,3
61,1,58,False,"0.46",2,3
62,1,59,True,"0.63",3,3
63,1,60,False,"8.02",2,3
64,1,61,False,"2.64",1,1
65,1,62,False,"4.30",1,1
66,1,63,True,"3.82",1,1
67,1,64,True,"4.12",1,1
68,1,65,False,"9.78",1,1
69,1,66,False,"12.17",1,2
70,1,67,True,"11.25",1,2
71,1,68,False,"5.19",1,2
72,1,69,False,"6.11",1,2
73,1,70,False,"5.48",1,2
74,1,71,True,"5.68",3,3
75,1,72,True,"6.00",3,3
76,1,73,True,"5.86",3,3
77,1,74,False,"5.49",2,3
78,1,75,False,"10.43",2,3
14,1,7,True,"5.71",2,2
7,1,8,True,"3.19",2,2
8,1,8,True,"3.19",2,2
15,1,9,False,"2.71",1,2
9,1,10,False,"5.20",1,2
10,1,11,True,"2.79",3,3
11,1,12,True,"4.36",3,3
12,1,12,True,"4.36",3,3
16,1,13,True,"2.58",3,3
17,1,14,True,"5.03",3,3
3,1,3,False,"0.29",2,1
4,1,4,False,"1.67",2,1
13,1,5,False,"6.86",2,1
5,1,6,True,"1.83",3,2
6,1,6,True,"1.83",3,2
